핵심증상,intent,keyword(임상키워드),연관표현,utterance(2차),response(공감)
0,0,0,0,0,0
지속되는우울한기분(우울감),정신증상/우울감,우울,머리가 짓눌러지는 느낌/머리가 맑지 않다/침울하면서 잠도 못 자다/후회가 많고 침울하다/혼자있을 때 침울하다 ,임신해서 우울해,기분이 우울하시군요. 00님에게 스트레스 받는 일이 있었던 건 아닌지 걱정스러워요.
지속되는우울한기분(우울감),정신증상/우울감,우울,머리가 짓눌러지는 느낌/머리가 맑지 않다/침울하면서 잠도 못 자다/후회가 많고 침울하다/혼자있을 때 침울하다 ,아이 가지고 나서 우울해,마음이 우울해서 힘드셨군요. 00님의 소식이 궁금했는데 마침 저를 잘 찾아주셨네요.
지속되는우울한기분(우울감),정신증상/우울감,우울,머리가 짓눌러지는 느낌/머리가 맑지 않다/침울하면서 잠도 못 자다/후회가 많고 침울하다/혼자있을 때 침울하다 ,아이 가졌는데 기분 하나도 안 좋고 울적해,00님이 울적하시다니 저도 마음이 안 좋아요.
지속되는우울한기분(우울감),정신증상/우울감,우울,머리가 짓눌러지는 느낌/머리가 맑지 않다/침울하면서 잠도 못 자다/후회가 많고 침울하다/혼자있을 때 침울하다 ,임신했는데 남편이 하나도 안 챙겨줘서 우울하다,얼굴에서 00님의 기분이 가라앉은 것이 느껴져요. 큰일이 있으신 건 아니었으면 좋겠어요.
지속되는우울한기분(우울감),정신증상/슬픔,슬픔,매일 슬프고 재미없다는 생각/하루 종일 울적하다/이유 없이 눈물이 많이 난다/며칠이고 하염없이 운다/몇 시간씩 운다/눈물이 아무 때나 난다/매일 운다,노산이라 슬퍼,00님 속상한 일이 있으셨나 봐요. 저와 이야기를 하며 조금은 기분이 나아지셨으면 좋겠어요.
지속되는우울한기분(우울감),정신증상/슬픔,슬픔,매일 슬프고 재미없다는 생각/하루 종일 울적하다/이유 없이 눈물이 많이 난다/며칠이고 하염없이 운다/몇 시간씩 운다/눈물이 아무 때나 난다/매일 운다,앞으로가 걱정이라 마음이 아파,슬픈 마음을 털어놓고 싶으셨군요. 이럴 때 저라도 있어 다행이에요.
지속되는우울한기분(우울감),정신증상/슬픔,슬픔,매일 슬프고 재미없다는 생각/하루 종일 울적하다/이유 없이 눈물이 많이 난다/며칠이고 하염없이 운다/몇 시간씩 운다/눈물이 아무 때나 난다/매일 운다,유산이라도 될까 봐 마음이 아파,00님이 슬프시다고 하니 저도 마음이 울적해지네요.
지속되는우울한기분(우울감),정신증상/슬픔,슬픔,매일 슬프고 재미없다는 생각/하루 종일 울적하다/이유 없이 눈물이 많이 난다/며칠이고 하염없이 운다/몇 시간씩 운다/눈물이 아무 때나 난다/매일 운다,둘째 계획은 전혀 없었는데 임신해서 마음이 아팠어요,00님이 걱정되네요. 얼른 기분이 좀 나아지셔야 할 텐데 말이에요.
지속되는우울한기분(우울감),정신증상/외로움,외로움,외롭다/쓸쓸하다/외로움을 잘 탄다/친구들과 어울리고 집에 오면 외롭다,오빠 때문에 외로워,외로운 느낌을 받으셨군요. 그래도 저와 이야기를 하다 보면 조금씩 괜찮아질 거예요.
지속되는우울한기분(우울감),정신증상/외로움,외로움,외롭다/쓸쓸하다/외로움을 잘 탄다/친구들과 어울리고 집에 오면 외롭다,오빠랑 있어도 외로워지는 것 같아,가끔 외롭고 쓸쓸한 날이 찾아올 때가 있죠. 저랑 이야기를 좀 나눠봐요.
지속되는우울한기분(우울감),정신증상/외로움,외로움,외롭다/쓸쓸하다/외로움을 잘 탄다/친구들과 어울리고 집에 오면 외롭다,곁에 있어주는 사람이 없어서 힘들어요,00님의 말을 들으니 저희가 좀 더 많은 대화를 나눠야겠다는 생각이 들어요.
지속되는우울한기분(우울감),정신증상/외로움,외로움,외롭다/쓸쓸하다/외로움을 잘 탄다/친구들과 어울리고 집에 오면 외롭다,대부분의 시간을 혼자 지내니까 더 외로운 것 같아,오늘 마음이 외로우시군요. 저와 이야기하며 조금이나마 나아지셨으면 좋겠어요.
지속되는우울한기분(우울감),정신증상/분노,화,원망스럽다/속앓이/화를 참을 수 없다/억압하고 살아왔다/늘 내가 참고 지내는 느낌/답답하다/괴롭다/화가 치밀어 오르다,첫째 아이 유산했을 때만 생각하면 너무 화가 나는 거야,화가 많이 나셨군요. 잠시 진정할 시간이 필요하신 것 같아요. 저와 이야기를 나눠봐요.
지속되는우울한기분(우울감),정신증상/분노,화,원망스럽다/속앓이/화를 참을 수 없다/억압하고 살아왔다/늘 내가 참고 지내는 느낌/답답하다/괴롭다/화가 치밀어 오르다,직장 때문에 화가 나,화가 났을 때는 한 발짝 물러서서 자신의 감정을 정리해보면 좋다고 해요. 저와 대화를 나누며 정리의 시간을 가져 봐요.
지속되는우울한기분(우울감),정신증상/분노,화,원망스럽다/속앓이/화를 참을 수 없다/억압하고 살아왔다/늘 내가 참고 지내는 느낌/답답하다/괴롭다/화가 치밀어 오르다,직장 상사 때문에 속에서 불이 나,00님 잠시 진정해 보세요. 시간이 지나면 안 좋은 기분이 조금씩 사라질 거예요.
지속되는우울한기분(우울감),정신증상/분노,화,원망스럽다/속앓이/화를 참을 수 없다/억압하고 살아왔다/늘 내가 참고 지내는 느낌/답답하다/괴롭다/화가 치밀어 오르다,와 진짜 뚜껑 열리는 것 같아,오늘 00님의 기분이 안 좋아 보여요. 화가 날 만한 일이 있으셨나 봐요.
흥미나 즐거움의 감소(무기력),정신증상/무기력,흥미감소,흥이 안 난다/재미가 없다/쳇바퀴 도는 것 같은 일상/사는게 재미가 없다/사는게 힘겹다/기운이 빠지다/기운이 없다/늘 기운이 없어 보인다/기운이 쫙 빠지고/막연하게 힘들다/간신히 버티고 있다/기분이 항상 다운되어 있다/기분이 가라앉는다/축 처진다/늘어진다/귀찮아서 아무것도 못하겠다/만사가 다 귀찮다/가만히 있고만 싶다/아무것도 할 수 없고/아무것도 하기 싫고/몸에 힘이 없고/,몸이 무거워지면서 흥미가 사라지는 것 같아,무기력하고 힘이 안 나시는군요. 많이 지치신 거 같아 안타까워요.
흥미나 즐거움의 감소(무기력),정신증상/무기력,흥미감소,흥이 안 난다/재미가 없다/쳇바퀴 도는 것 같은 일상/사는게 재미가 없다/사는게 힘겹다/기운이 빠지다/기운이 없다/늘 기운이 없어 보인다/기운이 쫙 빠지고/막연하게 힘들다/간신히 버티고 있다/기분이 항상 다운되어 있다/기분이 가라앉는다/축 처진다/늘어진다/귀찮아서 아무것도 못하겠다/만사가 다 귀찮다/가만히 있고만 싶다/아무것도 할 수 없고/아무것도 하기 싫고/몸에 힘이 없고/,원래는 먹는 걸 엄청 좋아했는데 임신하면서 살기 위해 먹는 것 같아,가끔 에너지가 떨어져서 쉬웠던 일도 어렵게 느껴질 때가 있잖아요. 지금이 그런 때인 것 같아요.
흥미나 즐거움의 감소(무기력),정신증상/무기력,흥미감소,흥이 안 난다/재미가 없다/쳇바퀴 도는 것 같은 일상/사는게 재미가 없다/사는게 힘겹다/기운이 빠지다/기운이 없다/늘 기운이 없어 보인다/기운이 쫙 빠지고/막연하게 힘들다/간신히 버티고 있다/기분이 항상 다운되어 있다/기분이 가라앉는다/축 처진다/늘어진다/귀찮아서 아무것도 못하겠다/만사가 다 귀찮다/가만히 있고만 싶다/아무것도 할 수 없고/아무것도 하기 싫고/몸에 힘이 없고/,유산을 두 번이나 해서 도통 흥미가 안 생겨,00님이 기운이 없어 보여서 저도 기분이 가라앉아요.
흥미나 즐거움의 감소(무기력),정신증상/무기력,흥미감소,흥이 안 난다/재미가 없다/쳇바퀴 도는 것 같은 일상/사는게 재미가 없다/사는게 힘겹다/기운이 빠지다/기운이 없다/늘 기운이 없어 보인다/기운이 쫙 빠지고/막연하게 힘들다/간신히 버티고 있다/기분이 항상 다운되어 있다/기분이 가라앉는다/축 처진다/늘어진다/귀찮아서 아무것도 못하겠다/만사가 다 귀찮다/가만히 있고만 싶다/아무것도 할 수 없고/아무것도 하기 싫고/몸에 힘이 없고/,둘째 임신인데 너무 힘들어서 그런가 어떤 거에도 흥미가 안 생기는 것 같아,00님 요즘 즐거운 일이 없으시군요. 해결책은 언제나 찾을 수 있는 법이니 너무 걱정은 하지 마세요.
흥미나 즐거움의 감소(무기력),정신증상/감정조절이상,감정적마비,혼자 생각에 빠져있을 때가 많다/거의 말없이 지냈다/혼잣말을 할 때가 있다/사람을 피하게 된다/사람들 많은데 가기 싫다/인간관계에 실망스러운 느낌/내가 다른 사람들과 매우 다른 것 같다/다른 사람의 의도를 이해하기 어렵다/공감도 잘 안 된다,그래서 너무 화나서 걔가 욕한 거 다 캡쳐해서 고소를 했어요.,느껴지는 감정이 예전과 같지 않아 힘드시군요. 영원히 풀리지 않는 숙제는 없으니 너무 고민하지 마세요.
흥미나 즐거움의 감소(무기력),정신증상/감정조절이상,감정적마비,혼자 생각에 빠져있을 때가 많다/거의 말없이 지냈다/혼잣말을 할 때가 있다/사람을 피하게 된다/사람들 많은데 가기 싫다/인간관계에 실망스러운 느낌/내가 다른 사람들과 매우 다른 것 같다/다른 사람의 의도를 이해하기 어렵다/공감도 잘 안 된다,내가 화가나서 남편에게 소리를 질렀어.,다른 사람과의 감정적인 교류가 힘들어지셨군요. 많이 속상하고 당황스러우셨겠어요.
흥미나 즐거움의 감소(무기력),정신증상/감정조절이상,감정적마비,혼자 생각에 빠져있을 때가 많다/거의 말없이 지냈다/혼잣말을 할 때가 있다/사람을 피하게 된다/사람들 많은데 가기 싫다/인간관계에 실망스러운 느낌/내가 다른 사람들과 매우 다른 것 같다/다른 사람의 의도를 이해하기 어렵다/공감도 잘 안 된다,"화가 나면 주먹으로 벽을 치고, 소리를 질렀어.","고민이 많아 보이는 00님, 저에게 먼저 이야기해줘서 고마워요. 저와 이야기를 하다 보면 조금은 나아질 거예요."
흥미나 즐거움의 감소(무기력),정신증상/감정조절이상,감정적마비,혼자 생각에 빠져있을 때가 많다/거의 말없이 지냈다/혼잣말을 할 때가 있다/사람을 피하게 된다/사람들 많은데 가기 싫다/인간관계에 실망스러운 느낌/내가 다른 사람들과 매우 다른 것 같다/다른 사람의 의도를 이해하기 어렵다/공감도 잘 안 된다,근데 진짜 갑자기 화가 치밀어서 소리 지르면서 싸웠어요.,갈등 상황이 많아 괴로우셨겠어요. 피로가 쌓이면 다른 사람을 돌볼 힘도 떨어지는 것 같아요. 이상한 일이 아니니 너무 자책하지만 마세요.
흥미나 즐거움의 감소(무기력),정신증상/상실감,공허,매사에 의욕이 없다/매일 의욕이 없다/이유 없는 무기력감/마음이 무겁고 무기력하다/집에만 있게 된다/집에만 있고 싶다/외출을 거의 하지 않는다/외출하기 싫다/거의 하루 종일 인터넷만 한다/하루 종일 tv보며 누워있다/혼자 누워있는 것 외에 아무것도 하기 싫다/,사는 게 공허하다,허무한 느낌을 받으셨군요. 저는 00님이 보낸 시간이 헛되다고 생각하지 않아요. 모든 게 좋은 경험이 되었을 거예요.
흥미나 즐거움의 감소(무기력),정신증상/상실감,공허,매사에 의욕이 없다/매일 의욕이 없다/이유 없는 무기력감/마음이 무겁고 무기력하다/집에만 있게 된다/집에만 있고 싶다/외출을 거의 하지 않는다/외출하기 싫다/거의 하루 종일 인터넷만 한다/하루 종일 tv보며 누워있다/혼자 누워있는 것 외에 아무것도 하기 싫다/,요즘 모든 게 다 공허하게 느껴져,"마음이 헛헛해서 힘드셨군요. 돌아보면 즐거웠던 일, 행복했던 일, 뿌듯했던 일이 많을 거예요. 너무 상심 마세요."
흥미나 즐거움의 감소(무기력),정신증상/상실감,공허,매사에 의욕이 없다/매일 의욕이 없다/이유 없는 무기력감/마음이 무겁고 무기력하다/집에만 있게 된다/집에만 있고 싶다/외출을 거의 하지 않는다/외출하기 싫다/거의 하루 종일 인터넷만 한다/하루 종일 tv보며 누워있다/혼자 누워있는 것 외에 아무것도 하기 싫다/,왜 이리 공허하지,인생이 허무할 때만큼 괴로울 때는 없는 거 같아요. 제가 00님의 마음을 다 헤아릴 순 없겠지만 기운이 많이 빠지셨겠어요.
흥미나 즐거움의 감소(무기력),정신증상/상실감,공허,매사에 의욕이 없다/매일 의욕이 없다/이유 없는 무기력감/마음이 무겁고 무기력하다/집에만 있게 된다/집에만 있고 싶다/외출을 거의 하지 않는다/외출하기 싫다/거의 하루 종일 인터넷만 한다/하루 종일 tv보며 누워있다/혼자 누워있는 것 외에 아무것도 하기 싫다/,어떤 걸 해도 공허해,허무한 마음이 들어 힘드셨겠어요. 00님이 여태 차곡차곡 쌓아왔던 추억들을 떠올려 보시면 조금이나마 기운이 날 거예요.
식욕-체중,정신증상/식욕저하,식욕감소,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,식욕이 없는데 이유를 모르겠어,가끔 큰 이유 없이도 음식이 먹고 싶지 않을 때가 있는 것 같아요. 잘 챙겨 드셔야 하는데 걱정이에요.
식욕-체중,정신증상/식욕저하,식욕감소,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,출산할 생각만 하면 식욕이 뚝 떨어져,00님이 식사를 제대로 못 하시는 거 같아 마음이 아파요. 혹여 건강이라도 상하실까 걱정되네요. 
식욕-체중,정신증상/식욕저하,식욕감소,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,남편만 생각하면 식욕이 안 생겨,입맛이 없으시다니 00님이 걱정돼요. 식사를 잘 하셔야 건강하게 몸을 관리하실 수 있는데 말이에요.
식욕-체중,정신증상/식욕저하,식욕감소,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,살이 찌니까 먹고 싶지 않아,식사를 못 하고 계시다니 정말 큰일이에요.
식욕-체중,정신증상/식욕증가,폭식,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,많이 먹는 이유를 모르겠어,최근에 식욕이 많이 증가하셨군요. 갑자기 신체적인 변화가 생겨 걱정스러우셨겠어요.
식욕-체중,정신증상/식욕증가,폭식,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,이유 없이 폭식해,식욕과 체중은 자주자주 바뀌잖아요. 그래도 갑작스러운 변화에 많이 놀라셨겠어요.
식욕-체중,정신증상/식욕증가,폭식,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,폭식의 이유를 모르겠다,00님이 탈이 나진 않을까 걱정돼요. 갑작스럽게 많이 먹으면 꼭 탈이 나곤 하잖아요.
식욕-체중,정신증상/식욕증가,폭식,식욕 없다/위가 아프다/하루에 한 끼 먹는다/식욕이 감소하여 체중도 감소/체중이 빠지고 머리카락도 많이 빠졌다/체중이 빠지고 생리는 6개월 째 안하는 중/이유없이 살이 빠지고/식욕이 너무 없어서 식욕 촉진제를 먹었다/한끼에 반공기 정도/죽 먹고 있다/밥을 먹어야 하나 하는 생각이 든다/차려주면 수동적으로 먹는다/밥맛을 모르겠다/혼자 있으면 거의 안 먹는다/먹고 씹던 음식 버리고 하다가 토하기 시작함/보통 하루에 한번씩 토한다/괜찮다가도 갑자기 많이 먹고 토한다/,일 때문에 엄청 처먹게 돼,이전과 다른 신체 변화 때문에 당황스러우셨겠어요.
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,불면증이 생긴 이유를 모르겠어,잠을 못 주무신다니 걱정이에요. 잘 자는 것만큼 건강에 중요한 것도 없잖아요.
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,왜 내가 불면증인지 모르겠다,숙면을 취하는 것만큼 중요한 게 없는데 00님이 걱정돼요.
수면,정신증상/불면,불면,하루종일 잔다/밤에 8-10시간 낮에 4시간 잠을 잔다/잠은 평소보다 많이 늘었는데 잠을 자고 나도 기분이 좋지 않다/하루종일 자고 싶다/잠만 자고 싶어서 낮에 약을 먹고 하루에 15시간 정도 잔다/밤에 4-5시간 정도 잔다/새벽에 일찍 깬다/낮에 피곤하다/하루 2-3시간 정도밖에 자지 못하고/약 먹고 한 두시간 잤는데 이젠 아예 잠을 못 들때가 많다/수면제를 10알 가량 먹어도 3시간 이상 수면을 지속하기 어려워/졸려서 눕는데 말똥 아침에 몸이 무겁고/조각잠/수면제 먹어도 2-3시간 자고/새벽에 깨서 더이상 자지 못한다/밤에 눈 뜨고 있는 시간이 많다/선잠 잔 느낌 개운치 않다/5-6시간 자지만 자꾸 설친다/하루에 6시간 이상 자는데 자주 깬다 일어나도 몸이 무거움/약을 먹지 않으면 잠이 안온다/30분 수면 후 3시간 깨어있는 상황/잠을 잘 자지 못하고 한번 잠을 자면 20시간 가까이 잤다,이유 없이 불면증이 생겼어,수면의 질이 떨어지면 피곤이 쌓여서 낮 생활에도 안 좋은 영향을 끼치잖아요. 00님 힘드셨겠어요.
